iterations,fitness,time
690,2203.7482584,2.352741132
700,2206.62735846,2.38279092
710,2223.02839277,2.415490194
720,2198.78664675,2.448087144
730,2223.02839277,2.48205207
740,2206.62735846,2.512152076
750,2206.62735846,2.542358937
760,2222.59307469,2.57447296
770,2223.02839277,2.600067669
780,2198.78664675,2.631461645
790,2213.42422067,2.663786736
800,2213.42422067,2.691568772
810,2198.78664675,2.72883149
820,2222.59307469,2.757971307
830,2204.46488823,2.790855973
840,2198.78664675,2.825373299
850,2223.02839277,2.85129537
860,2210.68986072,2.880829382
870,2205.73105178,2.907842663
880,2198.78664675,2.960776506
890,2223.02839277,2.989155876
900,2222.59307469,3.017877333
910,2204.46488823,3.045751876
920,2200.05766448,3.073485959
930,2223.02839277,3.101613859
940,2213.42422067,3.128618455
950,2210.68986072,3.159892738
960,2198.78664675,3.187165795
970,2200.05766448,3.215331453
980,2205.73105178,3.246735246
990,2213.42422067,3.278112986
1000,2198.78664675,3.318256648
1010,2202.88268671,3.352632382
1020,2222.59307469,3.390178664
1030,2198.78664675,3.426548781
1040,2223.02839277,3.457685247
1050,2204.46488823,3.483312805
1060,2200.67620356,3.520934226
1070,2222.59307469,3.551525088
1080,2209.84220213,3.584942899
1090,2209.84220213,3.620939966
1100,2213.42422067,3.658724502
1110,2210.68986072,3.696681969
1120,2222.59307469,3.735171071
1130,2210.68986072,3.771382604
1140,2223.02839277,3.806607896
1150,2198.78664675,3.839290179
1160,2223.02839277,3.87331665
1170,2223.02839277,3.905828644
1180,2198.78664675,3.994114645
1190,2206.62735846,4.032692856
1200,2205.73105178,4.068246265
1210,2213.42422067,4.103183462
1220,2223.02839277,4.137785366
1230,2209.84220213,4.173310834
1240,2209.84220213,4.206260822
1250,2206.62735846,4.234498221
1260,2204.46488823,4.26203785
1270,2209.84220213,4.293772405
1280,2213.42422067,4.321510641
1290,2202.88268671,4.34590351
1300,2206.62735846,4.377618053
1310,2202.84914901,4.406942508
1320,2210.68986072,4.436095164
1330,2222.59307469,4.467941482
1340,2205.73105178,4.496134704
1350,2198.78664675,4.526872445
1360,2213.42422067,4.561887423
1370,2222.59307469,4.589712126
1380,2198.78664675,4.621552026
1390,2209.84220213,4.651342416
1400,2200.05766448,4.681225313
1410,2198.78664675,4.713757697
1420,2198.78664675,4.740987709
1430,2198.78664675,4.769519621
1440,2203.97443908,4.800164476
1450,2202.88268671,4.834050865
1460,2205.73105178,4.860598589
1470,2200.05766448,4.890510937
1480,2200.05766448,4.915140548
1490,2213.42422067,4.947241356
1500,2202.88268671,4.974212725
1510,2206.62735846,5.000471599
